Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Mask,Attenuator,Clock Shift,Half Dev,Toronto,Toronto RPTs,Business,Sudbury,Music & News,Citizen,INT HAM,BANK 8,BANK 9,BANK10,BANK11,BANK12,BANK13,BANK14,BANK15,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,BANK23,BANK24,Comment,User CTCSS,S-Meter Squelch,Bell,Internet,
54,1.01000,1.01000, ,Simplex,Auto,CFRB,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
55,1.05000,1.05000, ,Simplex,Auto,CHUM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
56,1.28000,1.28000, ,Simplex,Auto,CJRU,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
57,1.43000,1.43000, ,Simplex,Auto,CHKT,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
58,1.54000,1.54000, ,Simplex,Auto,CHIN,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
59,1.61000,1.61000, ,Simplex,Auto,CHHA,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
60,1.69000,1.69000, ,Simplex,Auto,CHTO,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
61,88.10000,88.10000, ,Simplex,Auto,CIND-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
62,88.90000,88.90000, ,Simplex,Auto,CIRV-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
63,89.50000,89.50000, ,Simplex,Auto,CIUT-FM,None,100.0 Hz,023,RN-TN,High (5 W),Skip,Auto,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,Off,
